"Year Dx (2000-2021 group only) for DevCan","Age recode with single ages and 85+","Combined Summary Stage (2004+)","Crude Rate","Count","Population"
2000-2021,00 years,In situ,0.000000,0,23639727
2000-2021,00 years,Localized,0.000000,0,23639727
2000-2021,00 years,Regional,0.000000,0,23639727
2000-2021,00 years,Distant,0.000000,0,23639727
2000-2021,00 years,N/A,0.000000,0,23639727
2000-2021,00 years,Unknown/unstaged,0.000000,0,23639727
2000-2021,00 years,Blank(s),0.000000,0,23639727
2000-2021,01 years,In situ,0.000000,0,23620324
2000-2021,01 years,Localized,0.000000,0,23620324
2000-2021,01 years,Regional,0.000000,0,23620324
2000-2021,01 years,Distant,0.000000,0,23620324
2000-2021,01 years,N/A,0.000000,0,23620324
2000-2021,01 years,Unknown/unstaged,0.000000,0,23620324
2000-2021,01 years,Blank(s),0.000000,0,23620324
2000-2021,02 years,In situ,0.000000,0,23693701
2000-2021,02 years,Localized,0.000000,0,23693701
2000-2021,02 years,Regional,0.000000,0,23693701
2000-2021,02 years,Distant,0.000000,0,23693701
2000-2021,02 years,N/A,0.000000,0,23693701
2000-2021,02 years,Unknown/unstaged,0.000000,0,23693701
2000-2021,02 years,Blank(s),0.000000,0,23693701
2000-2021,03 years,In situ,0.000000,0,23811559
2000-2021,03 years,Localized,0.000000,0,23811559
2000-2021,03 years,Regional,0.000000,0,23811559
2000-2021,03 years,Distant,0.000000,0,23811559
2000-2021,03 years,N/A,0.000000,0,23811559
2000-2021,03 years,Unknown/unstaged,0.000000,0,23811559
2000-2021,03 years,Blank(s),0.000000,0,23811559
2000-2021,04 years,In situ,0.000000,0,23953134
2000-2021,04 years,Localized,0.000000,0,23953134
2000-2021,04 years,Regional,0.000000,0,23953134
2000-2021,04 years,Distant,0.000000,0,23953134
2000-2021,04 years,N/A,0.000000,0,23953134
2000-2021,04 years,Unknown/unstaged,0.000000,0,23953134
2000-2021,04 years,Blank(s),0.000000,0,23953134
2000-2021,05 years,In situ,0.000000,0,23988806
2000-2021,05 years,Localized,0.000000,0,23988806
2000-2021,05 years,Regional,0.000000,0,23988806
2000-2021,05 years,Distant,0.000000,0,23988806
