"STAGE","YEARS","CD_PROB_1Y"
"Localized",0,0.268719099721667
"Localized",1,0.220760665303184
"Localized",2,0.131535846768928
"Localized",3,0.10433364806994
"Localized",4,0.0481570386807538
"Localized",5,0.045778818114835
"Localized",6,0.0351282271975043
"Localized",7,0.0159884551916981
"Localized",8,0.0133040305117982
"Localized",9,0.0177330158598928
"Localized",10,0.0183747313087709
"Regional",0,0.336232433372987
"Regional",1,0.278658050486991
"Regional",2,0.168629547154365
"Regional",3,0.1343651624703
"Regional",4,0.0625871433099459
"Regional",5,0.0595188520702071
"Regional",6,0.0457488689960069
"Regional",7,0.0208851516378259
"Regional",8,0.0173858698796749
"Regional",9,0.0231576906293509
"Regional",10,0.0239933023807203
"Distant",0,0.612778935893879
"Distant",1,0.530548887140751
"Distant",2,0.3478900878558
"Distant",3,0.283976907716221
"Distant",4,0.138969046630808
"Distant",5,0.132430548631046
"Distant",6,0.102740256817014
"Distant",7,0.0476875758346791
"Distant",8,0.0397898138654859
"Distant",9,0.0527967839376712
"Distant",10,0.0546715128902225
