"AGE","STAGE","YEARS","CD_CIF"
"(0,49]","Localized",0,5.80968509529301
"(0,49]","Localized",1,5.80968509529301
"(0,49]","Localized",2,5.80968509529301
"(0,49]","Localized",3,5.80968509529301
"(0,49]","Localized",4,5.80968509529301
"(0,49]","Localized",5,5.80968509529301
"(0,49]","Localized",6,5.80968509529301
"(0,49]","Localized",7,5.80968509529301
"(0,49]","Localized",8,5.80968509529301
"(0,49]","Localized",9,5.80968509529301
"(0,49]","Localized",10,5.80968509529301
"(0,49]","Regional",0,5.85263333038618
"(0,49]","Regional",1,5.85263333038618
"(0,49]","Regional",2,5.85263333038618
"(0,49]","Regional",3,5.85263333038618
"(0,49]","Regional",4,5.85263333038618
"(0,49]","Regional",5,5.85263333038618
"(0,49]","Regional",6,5.85263333038618
"(0,49]","Regional",7,5.85263333038618
"(0,49]","Regional",8,5.85263333038618
"(0,49]","Regional",9,5.85263333038618
"(0,49]","Regional",10,5.85263333038618
"(0,49]","Distant",0,5.92327225635868
"(0,49]","Distant",1,5.92327225635868
"(0,49]","Distant",2,5.92327225635868
"(0,49]","Distant",3,5.92327225635868
"(0,49]","Distant",4,5.92327225635868
"(0,49]","Distant",5,5.92327225635868
"(0,49]","Distant",6,5.92327225635868
"(0,49]","Distant",7,5.92327225635868
"(0,49]","Distant",8,5.92327225635868
"(0,49]","Distant",9,5.92327225635868
"(0,49]","Distant",10,5.92327225635868
"(49,59]","Localized",0,5.82157837612145
"(49,59]","Localized",1,5.82157837612145
"(49,59]","Localized",2,5.82157837612145
"(49,59]","Localized",3,5.82157837612145
"(49,59]","Localized",4,5.82157837612145
"(49,59]","Localized",5,5.82157837612145
"(49,59]","Localized",6,5.82157837612145
"(49,59]","Localized",7,5.82157837612145
"(49,59]","Localized",8,5.82157837612145
"(49,59]","Localized",9,5.82157837612145
"(49,59]","Localized",10,5.82157837612145
"(49,59]","Regional",0,5.8639705792026
"(49,59]","Regional",1,5.8639705792026
"(49,59]","Regional",2,5.8639705792026
"(49,59]","Regional",3,5.8639705792026
"(49,59]","Regional",4,5.8639705792026
"(49,59]","Regional",5,5.8639705792026
"(49,59]","Regional",6,5.8639705792026
"(49,59]","Regional",7,5.8639705792026
"(49,59]","Regional",8,5.8639705792026
"(49,59]","Regional",9,5.8639705792026
"(49,59]","Regional",10,5.8639705792026
"(49,59]","Distant",0,5.93158600155682
"(49,59]","Distant",1,5.93158600155682
"(49,59]","Distant",2,5.93158600155682
"(49,59]","Distant",3,5.93158600155682
"(49,59]","Distant",4,5.93158600155682
"(49,59]","Distant",5,5.93158600155682
"(49,59]","Distant",6,5.93158600155682
"(49,59]","Distant",7,5.93158600155682
"(49,59]","Distant",8,5.93158600155682
"(49,59]","Distant",9,5.93158600155682
"(49,59]","Distant",10,5.93158600155682
"(59,64]","Localized",0,5.82735489671068
"(59,64]","Localized",1,5.82735489671068
"(59,64]","Localized",2,5.82735489671068
"(59,64]","Localized",3,5.82735489671068
"(59,64]","Localized",4,5.82735489671068
"(59,64]","Localized",5,5.82735489671068
"(59,64]","Localized",6,5.82735489671068
"(59,64]","Localized",7,5.82735489671068
"(59,64]","Localized",8,5.82735489671068
"(59,64]","Localized",9,5.82735489671068
"(59,64]","Localized",10,5.82735489671068
"(59,64]","Regional",0,5.86939909106258
"(59,64]","Regional",1,5.86939909106258
"(59,64]","Regional",2,5.86939909106258
"(59,64]","Regional",3,5.86939909106258
"(59,64]","Regional",4,5.86939909106258
"(59,64]","Regional",5,5.86939909106258
"(59,64]","Regional",6,5.86939909106258
"(59,64]","Regional",7,5.86939909106258
"(59,64]","Regional",8,5.86939909106258
"(59,64]","Regional",9,5.86939909106258
"(59,64]","Regional",10,5.86939909106258
"(59,64]","Distant",0,5.93542871085998
"(59,64]","Distant",1,5.93542871085998
"(59,64]","Distant",2,5.93542871085998
"(59,64]","Distant",3,5.93542871085998
"(59,64]","Distant",4,5.93542871085998
"(59,64]","Distant",5,5.93542871085998
"(59,64]","Distant",6,5.93542871085998
"(59,64]","Distant",7,5.93542871085998
"(59,64]","Distant",8,5.93542871085998
"(59,64]","Distant",9,5.93542871085998
"(59,64]","Distant",10,5.93542871085998
"(64,69]","Localized",0,5.82768385079165
"(64,69]","Localized",1,5.82768385079165
"(64,69]","Localized",2,5.82768385079165
"(64,69]","Localized",3,5.82768385079165
"(64,69]","Localized",4,5.82768385079165
"(64,69]","Localized",5,5.82768385079165
"(64,69]","Localized",6,5.82768385079165
"(64,69]","Localized",7,5.82768385079165
"(64,69]","Localized",8,5.82768385079165
"(64,69]","Localized",9,5.82768385079165
"(64,69]","Localized",10,5.82768385079165
"(64,69]","Regional",0,5.86970665972078
"(64,69]","Regional",1,5.86970665972078
"(64,69]","Regional",2,5.86970665972078
"(64,69]","Regional",3,5.86970665972078
"(64,69]","Regional",4,5.86970665972078
"(64,69]","Regional",5,5.86970665972078
"(64,69]","Regional",6,5.86970665972078
"(64,69]","Regional",7,5.86970665972078
"(64,69]","Regional",8,5.86970665972078
"(64,69]","Regional",9,5.86970665972078
"(64,69]","Regional",10,5.86970665972078
"(64,69]","Distant",0,5.9356437268931
"(64,69]","Distant",1,5.9356437268931
"(64,69]","Distant",2,5.9356437268931
"(64,69]","Distant",3,5.9356437268931
"(64,69]","Distant",4,5.9356437268931
"(64,69]","Distant",5,5.9356437268931
"(64,69]","Distant",6,5.9356437268931
"(64,69]","Distant",7,5.9356437268931
"(64,69]","Distant",8,5.9356437268931
"(64,69]","Distant",9,5.9356437268931
"(64,69]","Distant",10,5.9356437268931
"(69,74]","Localized",0,5.83659508377375
"(69,74]","Localized",1,5.83659508377375
"(69,74]","Localized",2,5.83659508377375
"(69,74]","Localized",3,5.83659508377375
"(69,74]","Localized",4,5.83659508377375
"(69,74]","Localized",5,5.83659508377375
"(69,74]","Localized",6,5.83659508377375
"(69,74]","Localized",7,5.83659508377375
"(69,74]","Localized",8,5.83659508377375
"(69,74]","Localized",9,5.83659508377375
"(69,74]","Localized",10,5.83659508377375
"(69,74]","Regional",0,5.87797308587954
"(69,74]","Regional",1,5.87797308587954
"(69,74]","Regional",2,5.87797308587954
"(69,74]","Regional",3,5.87797308587954
"(69,74]","Regional",4,5.87797308587954
"(69,74]","Regional",5,5.87797308587954
"(69,74]","Regional",6,5.87797308587954
"(69,74]","Regional",7,5.87797308587954
"(69,74]","Regional",8,5.87797308587954
"(69,74]","Regional",9,5.87797308587954
"(69,74]","Regional",10,5.87797308587954
"(69,74]","Distant",0,5.94131308039923
"(69,74]","Distant",1,5.94131308039923
